#	January						February						March						     April						May						June						July						August 						  September						   October						   November						   December					
#	2009	2010	2011	2012	2013	2014	2009	2010	2011	2012	2013	2014	2009	2010	2011	2012	2013	2014	2009	2010	2011	2012	2013	2014	2009	2010	2011	2012	2013	2014	2009	2010	2011	2012	2013	2014	2009	2010	2011	2012	2013	2014	2009	2010	2011	2012	2013	2014	2009	2010	2011	2012	2013	2014	2009	2010	2011	2012	2013	2014	2009	2010	2011	2012	2013	2014	2009	2010	2011	2012	2013	2014
Gujarat Region	0	0.1	0	0.1	0	7.5	0	0	0.2	0	1.1	0.2	0	0	0	0	0.1	0.2	0	0	0	0.1	5.6	1	0	0	0	0	0	1.3	16.8	61.1	15.9	32.4	168.2	12.2	402.1	342.8	271.5	162.1	454.2	341.8	137.5	386.4	456.4	205.4	238.1	154.5	57	220.9	157.5	247.3	323.3	268.6	27.8	8.3	2.4	4.6	59.9	3.5	8.2	39.9	0	0	0.1	1.5	0	0.3	0	0	0	0
Saurashtra,Kutch & Diu	0	0.2	0	0	1.9	0.3	0	0	1.9	0	0.2	0	0	0	0	0	0.1	0.1	0	0	0	0.2	9.6	0.5	0	0.1	0	0.1	0.1	2.4	69	72.6	24.3	22.9	159.1	22.6	430.2	408	201.2	33.9	208.9	166.2	103.5	340.8	284.6	31.7	100.4	147.7	10.1	184.5	209.6	222.9	308.9	118.2	2.8	5.5	3.3	2.6	34.7	6.5	1.3	62.2	0.1	0	0	3.3	0	0	0	1	0	0
Konkan & Goa	0	1.1	0	0	0	0.1	0	0	0	0	4.7	1	0.1	0.4	0	0	0	0.3	0.1	2.8	4.4	0.6	0.1	0.5	3.8	8.7	0.7	0.2	22.1	26.9	329.9	671.8	837.1	609.6	1073	258.9	1325.9	1405.5	1436.9	932.6	1555.1	1354.7	297.4	838.1	968.8	757.2	517.2	702.6	363.2	522	473.4	518.2	353.1	436.7	299.7	188.3	109.5	173.8	155.8	111.4	118.2	109.2	11.6	1.7	2.5	8.2	0	1.5	0	0	1.3	12
Madhya Maharashtra	0.1	2.9	0	0	0.1	3.1	0	0.5	1.5	0	5.3	6.2	0.8	2.8	0.6	0	0.8	24.4	0.2	4.4	8.7	11.9	5.7	7.5	11.3	4.3	12.3	10.9	6	29.8	66	184.3	130.1	67.1	212.4	44	304.2	263.7	245.3	186.5	311.8	277.9	146.3	229.1	243	168.5	147	240.3	167.1	161.8	142.8	123.9	210.3	120.4	96.2	75.9	58.6	92.2	57.8	38.5	121.1	75.8	0	3.2	4	32.8	4.8	0.8	0	0	1.3	13.1
Marathwada	0	11.4	0	0.3	1.5	1.4	0	7	5.3	0	9.4	13.4	0.2	7.6	0.6	0	2.6	79	0.8	0.6	11.5	3.1	7.9	11.9	17.3	3.2	9.9	4.7	6.4	7	58.9	118.3	69.5	70.3	160.9	30.4	150.4	328.6	241.6	157.3	293.4	105	167.5	297.7	231.4	105.5	136.9	178.9	153	159.7	90.5	124.9	154.1	84.5	62.6	63.7	25.4	68.6	94.3	14.2	69.8	40.4	0	3.5	7.4	19.9	7	1.2	0	0	13.1	3.3
Vidarbha	0	16.2	0	9.4	6.6	1.2	0	15.3	9.2	1	13	18.3	12.6	13.3	1.8	0	3.8	49.6	2.3	0.6	28.3	2.4	2.8	2.6	12.9	0.6	17	3	0.5	4	79.1	145	145.1	117.4	366.7	63.3	315.4	448.3	251.3	360.2	535.5	337.6	175.5	387.8	315.5	309.2	326.1	191.7	92	233.6	185.6	244.8	131.7	224.9	39.8	51.7	4.6	34.5	133.5	17.3	69.1	39.7	0	8.3	0	6.2	5.5	3.1	0.1	0	0	2.3
Chattisgarh	1.3	5.3	0.1	45.7	2.9	2.1	0	2.8	14.2	2.1	19.4	27.9	0	1.9	1.8	0.4	4.8	19.2	1.3	4.7	42.5	18.3	45.5	16.2	10.3	5.7	16.6	6.9	5.7	25.5	43.5	89.6	193.2	135.9	265.6	102.7	431.5	397.3	271.4	405.7	425.4	422.4	237.1	303.8	374.2	424.8	335.8	327.6	84.1	244	381.7	261.2	138.3	253.3	22.9	55.6	13.7	31.9	174.6	74.6	27.6	13.4	0	30	0.3	2.7	0.1	23.7	3.6	3.9	0.1	0.6
Coastal Andhra Pradesh	0.4	14.9	1.9	34.7	1.2	0.7	0	2.1	20.7	0.4	38.2	1.2	4.1	3.3	0.8	2	4.5	6.5	3.4	13.8	44.3	20	37	7.5	45.9	180.1	52	35.3	21.7	84.8	53.9	138.4	76	80.9	101	35	97	272.5	167.5	190.8	157.9	141.1	143	231.8	198.7	185.6	127.3	144.3	135.7	193.9	94.2	198.6	138	128.6	73.3	205.9	104.1	167.1	384.3	160.8	168.2	240.5	60.6	240.3	66.5	49.5	20.1	127.7	14.7	27.7	4.2	17.5
Telangana	2.2	11.2	0	8.1	3.9	0.1	0	7.2	9.7	0	30.2	1.9	5.3	0.9	2.3	0.3	0.1	47.7	6.2	10.9	33.1	18.3	25.1	10	26.9	40.6	20.3	13.7	12.5	70.5	65.5	102.3	80.5	116.5	185.6	55.4	112.2	389.5	261.6	263.9	386.2	142.9	165.4	278.9	230.3	224	212.3	173.4	154.8	242.3	84.4	182.8	165.1	126.8	94.3	101.7	15.7	83.8	232.6	43.3	31.9	45.7	1.7	61.3	17.3	12	1.1	17.7	0	0	1.1	1.5
Rayalseema	0.5	9.2	0.1	2.7	0.7	0.1	0	0.5	6.8	0.6	21.5	0.5	4.9	0.3	0	3	7.2	13.9	3.5	25.4	34.9	49.5	23.7	8.4	63.5	77	43.7	37.8	38.2	52.2	62.9	94.6	51.4	35	65.2	65.7	22	155	109.7	123.6	82.8	64.4	120	169.4	164.3	124	90	106.2	185.2	100.6	53	73.9	182.4	73.2	84.9	82.9	89.2	97.7	140.4	101.9	104.6	163.5	71	77.3	23.6	28.5	20.8	28.7	18.7	40	1.5	8.3
Tamil Nadu 	7.5	11.4	7.5	7.1	3.9	7.4	0	0.1	27.8	2.1	30.9	6.1	30.4	2.1	8.7	4.4	30	8.1	35.4	21.4	94.8	38.6	20.3	8.3	64.4	100.7	39.3	44.5	42	139.1	33.7	71	35.2	22.6	54.6	47.8	58.5	80.2	63.8	58.6	42.7	50.6	96.1	107.8	114.1	86.6	110.7	117.7	126.4	120.2	85.8	75.8	113.5	98.9	62.2	153.6	220.5	256.8	127.9	252.2	314.1	326.5	252.4	78.2	112.3	110.8	105.7	127.2	63.9	32.7	53.2	66
Coastal Karnataka	0	11.7	0	0	3.5	0	0	0	0.5	0.1	15.8	0.1	28.7	2.1	0.8	0.4	10	2.6	19.4	60.5	65.2	69	22.2	31.6	112.6	90.9	45.8	17.5	91.9	156.8	491.2	751.6	1069.5	776.7	1044.5	492.7	1645.9	1286.5	1154.8	792	1536.4	1168.1	497.4	677.4	954.3	1118.2	668	1105.9	569.2	532.1	598.1	401.1	370.5	350.1	260.9	347.5	169.7	143.9	238.2	195.5	144	235.1	87.6	75.4	38.4	32.7	28.9	12.1	0.1	0.7	5.3	27.8
North Interior Karnataka	0	9.1	0.2	0.1	1.2	0	0	2.9	3.9	0	6.1	6.1	7.3	0.7	0.8	0	3	29.2	10.4	19.7	44.8	46.5	25.4	26.4	56.4	44.4	49.4	17.3	47.4	93	93.2	113.6	91	55.7	99.4	50.4	119.4	180.7	141	99.4	160.7	136.8	167.4	208.7	148	94.8	73.9	205.2	236.3	112.2	60.3	76.4	201	90.2	221.5	84.3	78.5	86.5	101	80.3	47.8	79.4	2.3	51.6	4.2	25	17.4	1.6	0	1.1	0.1	14.1
South Interior Karnataka	0	9	0.1	0.2	0.5	0.4	0	0.6	8.6	0.3	10.1	2.4	27.4	6.4	7.6	1.3	11.7	17.7	25.3	79.8	87.3	113.5	34.6	46.7	99.9	139.9	88.9	47.2	95.6	130.5	96	133.9	165.1	71.5	176.2	106.8	322.6	225.8	189.4	126.4	307.4	271.6	154.7	228.7	184.3	214.1	151.7	254.6	249.5	152.3	100.8	96.1	191.8	161.6	103.8	134.2	151.6	65.7	103.7	152.9	70.5	194	54.6	90.4	24.9	20.2	27.5	4.1	2.2	5.3	2.4	18.7
Kerala	3.2	18.4	20.6	7.4	3.9	4.6	1.3	1	46.1	9.1	40.1	10.3	64.2	31.9	25.3	29.6	49.9	17.9	67.8	140.3	165.2	197.5	49.3	95.7	190.4	189.8	121.6	83.8	119.3	251	433.6	669.1	790.5	444.6	1042.7	454.4	927.5	630	538.4	360.6	830.2	677.8	270.3	358.3	495.3	502.6	369.7	733.9	327.6	273.8	391.9	240	318.6	298.8	210.1	442.5	230.9	189.3	259.9	355.5	274.2	339	165.8	113.4	154.9	99.5	45.7	47.9	50	9.7	17	47.2
Lakshadweep	4.7	18.8	5.1	19.2	26.2	53.2	1.4	0	2.8	0.1	34.4	16.1	0.1	1.2	3.2	1.7	37.5	4.4	18.2	35.7	86	76.8	5.3	14.9	162	79.1	107.2	21	88.3	57.4	401.6	320.2	153.6	327	426.2	244.1	266.4	338.4	350.5	231.6	296.4	116.1	185	333.4	254.9	408.8	154.4	466.1	144.9	162.9	255	179.7	180	132.2	89.2	152.8	117.4	146.1	72.8	169.2	166.4	201.4	180.8	12.5	78.1	59	132.6	81.5	14.9	8.7	26.7	62.3
